dataset,scale,item,item_text,n_items,documented_reverse,final_reverse,disagrees,cos_to_centroid,mean_emp_r_raw_vs_scale,mean_cos_raw_vs_scale,hyperplane_reflected,hyperplane_cos_to_pos_c,n_iter,converged
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness,imp_a_1,I am restless at lectures or talks,15,False,False,False,0.47311619073468364,0.15630511797598498,0.18139867875187538,False,0.5698182677865926,2,True
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness,imp_a_2,I squirm at plays or lectures,15,False,False,False,0.3946990998435463,0.19963614141029434,0.14859900170844645,False,0.5184283235069017,2,True
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness,imp_a_3,I concentrate easily,15,True,True,False,0.4164923140134189,-0.1822150974431533,-0.1389914808380683,True,-0.19245881852442676,2,True
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness,imp_a_4,I don't pay attention,15,False,False,False,0.5130876586123339,0.29052088756040556,0.1860143919839771,False,0.5113960943861185,2,True
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness,imp_a_5,I am easily bored solving thought problems,15,False,False,False,0.5334220277493255,0.15540279013497948,0.2082336732617842,False,0.5785601084987106,2,True
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness,imp_m_1,I act on impulse,15,False,False,False,0.4688159894687148,0.27938418321767483,0.17034662051992314,False,0.5949785534850957,2,True
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness,imp_m_2,I act on the spur of the moment,15,False,False,False,0.5684051408217775,0.234498037878702,0.21055945795552847,False,0.6074339908587316,2,True
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness,imp_m_3,I do things without thinking,15,False,False,False,0.6474191954232099,0.2877490247238287,0.2575883242681842,False,0.7038015924185582,2,True
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness,imp_m_4,I say things without thinking,15,False,False,False,0.5371070545071355,0.2424053443624369,0.20898485631447145,False,0.6137054830812367,2,True
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness,imp_m_5,I buy things on impulse,15,False,False,False,0.4350443211089236,0.19793569721569812,0.1515081766567932,False,0.5244263576373955,2,True
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness,imp_np_1,I plan for job security,15,False,True,True,-0.44743651488332464,-0.1511665617431293,-0.1694608757563613,False,0.06351596504669524,2,True
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness,imp_np_2,I plan for the future,15,True,True,False,0.5546501335712379,-0.17036478704263727,-0.14978130997401512,True,-0.0926740245299532,2,True
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness,imp_np_3,I save regularly,15,True,True,False,0.41553227577446333,-0.15691029226941075,-0.10906720839979754,True,-0.07355561768454602,2,True
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness,imp_np_4,I plan tasks carefully,15,True,True,False,0.5858278289109524,-0.1960137384803166,-0.17356586604473653,True,-0.1399899086493044,2,True
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness,imp_np_5,I am a careful thinker,15,True,True,False,0.546219707986187,-0.21234474006163237,-0.1834441303794137,True,-0.2221474374164034,2,True
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Attention_impulsivity,imp_a_1,I am restless at lectures or talks,5,False,False,False,0.7391365167367562,0.3131592372866989,0.3342209172629812,False,0.7919351287044701,1,True
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Attention_impulsivity,imp_a_2,I squirm at plays or lectures,5,False,False,False,0.6343401119960501,0.3284311728550477,0.25138878772109463,False,0.6538413386358557,1,True
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Attention_impulsivity,imp_a_3,I concentrate easily,5,True,True,False,0.5267347296954284,-0.29295300902155824,-0.1663364141384044,True,-0.24031639488405587,1,True
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Attention_impulsivity,imp_a_4,I don't pay attention,5,False,False,False,0.5643828508910634,0.3566662464493637,0.19609386678767604,False,0.6038650132971838,1,True
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Attention_impulsivity,imp_a_5,I am easily bored solving thought problems,5,False,False,False,0.697045915524118,0.2000221467708922,0.30095208384481625,False,0.7189821784957897,1,True
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Motor_Impulsivity,imp_m_1,I act on impulse,5,False,False,False,0.7437988232015651,0.5401175009206544,0.410544609129474,False,,1,True
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Motor_Impulsivity,imp_m_2,I act on the spur of the moment,5,False,False,False,0.7046575186198999,0.48295698739393433,0.3757844334889337,False,,1,True
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Motor_Impulsivity,imp_m_3,I do things without thinking,5,False,False,False,0.7611364884054534,0.48748460147663675,0.4259416505445515,False,,1,True
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Motor_Impulsivity,imp_m_4,I say things without thinking,5,False,False,False,0.6998701198658978,0.42140489368162926,0.371532893502493,False,,1,True
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Motor_Impulsivity,imp_m_5,I buy things on impulse,5,False,False,False,0.6428126842582258,0.38652025047250027,0.3208619589355708,False,,1,True
pilot_holdout,Barratt_Impulsiveness_Scale_Short_Form_Impulsiveness_Non_planning,imp_np_1,I plan for job security,5,True,True,False,0.7208909122943457,-0.25779439549169325,-0.4028833705083119,False,,1,True
